top - 19:47:56 up  1:44,  1 user,  load average: 0.08, 0.03, 0.04
     39 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     40 root      20   0       0      0      0 S   0.0   0.0   0:02.01 kcompac+
     41 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     42 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     45 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     46 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     53 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     54 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     56 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     58 root      20   0       0      0      0 S   0.0   0.0   0:00.64 kswapd0
     59 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     60 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     61 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/24-+
     62 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-+
     63 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-+
     64 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-+
     65 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/28-+
     66 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/29-+
     67 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/30-+
     68 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/31-+
     69 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/32-+
     70 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/33-+
     71 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/34-+
     72 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/35-+
     73 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/36-+
     74 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/37-+
     75 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/38-+
     76 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/39-+
     77 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/40-+
     78 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/41-+
     79 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/42-+
     80 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/43-+
     81 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/44-+
     82 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/45-+
     83 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/46-+
     84 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/47-+
     85 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/48-+
     86 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-+
     87 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/50-+
     88 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/51-+
     89 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/52-+
     90 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/53-+
     91 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/54-+
     92 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/55-+
     93 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     94 root      20   0       0      0      0 S   0.0   0.0   0:00.02 scsi_eh+
     95 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     96 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    101 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    102 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    104 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker+
    105 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    107 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    121 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    174 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    177 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    182 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    183 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    184 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    185 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    186 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    187 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    188 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    189 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    190 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    191 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    192 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    193 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    194 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    195 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    196 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    197 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    198 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    199 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    200 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    201 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    202 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    203 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    204 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    205 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    206 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    207 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    208 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    209 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    210 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    211 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    212 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    213 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    214 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    215 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    216 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    217 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    218 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    219 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    220 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    221 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    222 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    223 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    224 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    225 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    226 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    227 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    228 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    229 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    230 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    231 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    232 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    233 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    234 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    235 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    236 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    237 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    238 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    239 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    240 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    241 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    242 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    244 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    320 root      20   0       0      0      0 S   0.0   0.0   0:01.17 jbd2/sd+
    321 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    369 root      19  -1   75448  21064  19420 S   0.0   0.5   0:01.70 systemd+
    414 root      20   0   31892  10056   5072 S   0.0   0.3   0:00.36 systemd+
    473 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    566 systemd+  20   0   17568   7820   6908 S   0.0   0.2   0:04.05 systemd+
    571 systemd+  20   0   22072  14140  11304 S   0.0   0.4   0:00.48 systemd+
    573 systemd+  20   0   91056   8028   7052 S   0.0   0.2   0:00.14 systemd+
    674 avahi     20   0    8680   4656   4204 S   0.0   0.1   0:00.21 avahi-d+
    675 message+  20   0   12160   7600   4844 S   0.0   0.2   0:00.90 dbus-da+
    678 gnome-r+  20   0  512820  16860  14352 S   0.0   0.4   0:00.14 gnome-r+
    681 polkitd   20   0  384692  11640   8132 S   0.0   0.3   0:00.69 polkitd
    685 root      20   0  313384   7548   6800 S   0.0   0.2   0:00.03 power-p+
    699 root      20   0 1843344  31140  20104 S   0.0   0.8   0:01.34 snapd
    700 root      20   0  313300   8056   7156 S   0.0   0.2   0:00.42 account+
    701 root      20   0    9432   2912   2668 S   0.0   0.1   0:00.11 cron
    705 root      20   0  309868   7236   6448 S   0.0   0.2   0:00.09 switche+
    708 root      20   0   18168   9196   8036 S   0.0   0.2   0:00.22 systemd+
    711 root      20   0  543208  14820  11980 S   0.0   0.4   0:00.45 udisksd
    731 avahi     20   0    8488   1544   1168 S   0.0   0.0   0:00.00 avahi-d+
    736 root      20   0  336352  19560  16656 S   0.0   0.5   0:01.17 Network+
    738 root      20   0   17392   6652   5776 S   0.0   0.2   0:00.09 wpa_sup+
    744 syslog    20   0  222572   6472   4684 S   0.0   0.2   0:00.19 rsyslogd
    787 root      20   0  392100  13020  10936 S   0.0   0.3   0:00.11 ModemMa+
    866 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/57-+
    867 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/58-+
    868 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/59-+
    942 root     -51   0       0      0      0 S   0.0   0.0   0:05.20 irq/16-+
    944 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    964 root      20   0   38416  12576  10240 S   0.0   0.3   0:00.09 cupsd
    968 root      20   0  112260  23400  13980 S   0.0   0.6   0:00.07 unatten+
    987 lp        20   0   16844   7080   6164 S   0.0   0.2   0:00.00 dbus
   1005 cups-br+  20   0  268492  20664  17580 S   0.0   0.5   0:00.05 cups-br+
   1010 root      20   0  314944   9588   8392 S   0.0   0.2   0:00.12 gdm3
   1020 kernoops  20   0   12752   2400   1920 S   0.0   0.1   0:00.01 kernelo+
   1041 kernoops  20   0   12752   2396   1912 S   0.0   0.1   0:00.01 kernelo+
   1119 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   1272 rtkit     21   1   22948   3592   3292 S   0.0   0.1   0:00.21 rtkit-d+
   1357 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1375 colord    20   0  320036  14904  10192 S   0.0   0.4   0:00.11 colord
   1417 root      20   0  316616   9176   7636 S   0.0   0.2   0:00.09 upowerd
   1760 bobby     20   0   21160  12792   9816 S   0.0   0.3   0:01.21 systemd
   1761 bobby     20   0   21472   3672   1852 S   0.0   0.1   0:00.00 (sd-pam)
   1770 bobby      9 -11  116492  15964   9220 S   0.0   0.4   0:59.28 pipewire
   1771 bobby     20   0   97744   6188   5304 S   0.0   0.2   0:00.01 pipewire
   1779 bobby      9 -11  406824  19300  14200 S   0.0   0.5   0:02.07 wireplu+
   1787 bobby      9 -11  117000  14464   9672 S   0.0   0.4   0:01.44 pipewir+
   1908 bobby     20   0  162660   7008   6308 S   0.0   0.2   0:00.00 gcr-ssh+
   2110 bobby     20   0  314264   8200   7312 S   0.0   0.2   0:00.06 gvfsd
   2129 bobby     20   0   11080   6996   4848 S   0.0   0.2   0:01.19 dbus-da+
   2141 bobby     20   0  459720   7408   6612 S   0.0   0.2   0:00.01 gvfsd-f+
   2180 bobby     39  19  734804  27688  19024 S   0.0   0.7   0:00.43 tracker+
   2187 bobby     20   0  610516  11368   9480 S   0.0   0.3   0:00.16 gvfs-ud+
   2193 bobby     20   0  309800   6752   6120 S   0.0   0.2   0:00.04 gvfs-mt+
   2198 bobby     20   0  310768   7168   6412 S   0.0   0.2   0:00.03 gvfs-gp+
   2203 bobby     20   0  389388   8280   7176 S   0.0   0.2   0:00.65 gvfs-af+
   2209 bobby     20   0  309780   6852   6212 S   0.0   0.2   0:00.03 gvfs-go+
   2215 bobby     20   0  546604  24848  21168 S   0.0   0.6   0:00.04 goa-dae+
   2226 bobby     20   0  610300   7740   6936 S   0.0   0.2   0:00.08 xdg-doc+
   2234 bobby     20   0  309316   6384   5856 S   0.0   0.2   0:00.02 xdg-per+
   2238 bobby     20   0  389136   9620   8532 S   0.0   0.2   0:00.04 goa-ide+
   2250 root      20   0    2712   2100   1980 S   0.0   0.1   0:00.00 fusermo+
   2296 root      20   0  242600  10760   9252 S   0.0   0.3   0:00.03 gdm-ses+
   2308 bobby     20   0  316516  10504   9408 S   0.0   0.3   0:00.12 gnome-k+
   2319 bobby     20   0  235676   6200   5696 S   0.0   0.2   0:00.01 gdm-way+
   2323 bobby     20   0  298220  17036  15100 S   0.0   0.4   0:00.02 gnome-s+
   2345 bobby     20   0   91556   5764   5308 S   0.0   0.1   0:00.00 gnome-s+
   2358 bobby     20   0  733472  18712  15968 S   0.0   0.5   0:00.27 gnome-s+
   2387 bobby     20   0  382944   8000   7216 S   0.0   0.2   0:00.01 at-spi-+
   2388 bobby     20   0 3895164 292268 134972 S   0.0   7.4   3:24.26 gnome-s+
   2401 bobby     20   0    9488   5312   4720 S   0.0   0.1   0:00.04 dbus-da+
   2454 bobby     20   0  236076   7864   7100 S   0.0   0.2   0:00.01 at-spi2+
   2473 bobby     20   0  655936  22348  18572 S   0.0   0.6   0:00.16 gnome-s+
   2483 bobby     20   0 1275416  43764  35468 S   0.0   1.1   0:00.39 evoluti+
   2487 bobby     20   0 2670892  27344  22588 S   0.0   0.7   0:00.08 gjs
   2490 bobby     20   0  388652  12584   7272 S   0.0   0.3   0:19.77 ibus-da+
   2491 bobby     20   0  383524   6952   6328 S   0.0   0.2   0:00.03 gsd-a11+
   2492 bobby     20   0  412940  20100  17080 S   0.0   0.5   0:00.29 gsd-col+
   2493 bobby     20   0  431680  12516  11156 S   0.0   0.3   0:00.04 gsd-dat+
   2495 bobby     20   0  459004   8192   7304 S   0.0   0.2   0:00.19 gsd-hou+
   2497 bobby     20   0  411216  18972  16132 S   0.0   0.5   0:00.11 gsd-key+
   2499 bobby     20   0  741556  25000  21244 S   0.0   0.6   0:00.32 gsd-med+
   2503 bobby     20   0  597236  23860  19884 S   0.0   0.6   0:00.25 gsd-pow+
   2504 bobby     20   0  323772  12008  10444 S   0.0   0.3   0:00.09 gsd-pri+
   2506 bobby     20   0  531092   6980   6256 S   0.0   0.2   0:00.02 gsd-rfk+
   2507 bobby     20   0  309568   6508   5940 S   0.0   0.2   0:00.02 gsd-scr+
   2508 bobby     20   0  543196  11904  10296 S   0.0   0.3   0:00.06 gsd-sha+
   2512 bobby     20   0  385824   8440   7460 S   0.0   0.2   0:00.04 gsd-sma+
   2514 bobby     20   0  393644  10080   8864 S   0.0   0.3   0:00.07 gsd-sou+
   2515 bobby     20   0  485928  19736  16336 S   0.0   0.5   0:00.13 gsd-wac+
   2550 bobby     20   0  305632   7572   6312 S   0.0   0.2   0:00.02 gsd-dis+
   2557 bobby     20   0   39008  12148  10640 S   0.0   0.3   0:00.09 snapd-d+
   2584 bobby     20   0  826380  64280  50604 S   0.0   1.6   0:00.28 evoluti+
   2716 bobby     20   0  236656   7284   6644 S   0.0   0.2   0:00.00 ibus-me+
   2717 bobby     20   0  420948  29156  17808 S   0.0   0.7   0:03.47 ibus-ex+
   2721 bobby     20   0  310436   7520   6868 S   0.0   0.2   0:00.04 ibus-po+
   2722 bobby     20   0  890792  25148  21692 S   0.0   0.6   0:00.13 evoluti+
   2777 bobby     20   0  416220  15496  13460 S   0.0   0.4   0:00.05 gsd-pri+
   2788 bobby     20   0  429484  29868  21140 S   0.0   0.8   0:00.20 snapd-d+
   2802 bobby     20   0  236780   7812   6924 S   0.0   0.2   0:07.69 ibus-en+
   2816 bobby     20   0  825456  30884  26808 S   0.0   0.8   0:00.07 evoluti+
   2848 bobby     20   0  230216   6080   5484 S   0.0   0.2   0:00.03 dconf-s+
   2859 bobby     20   0  236348   6732   6136 S   0.0   0.2   0:00.01 gvfsd-m+
   2860 bobby     20   0  609452   9428   8064 S   0.0   0.2   0:00.06 gvfsd-t+
   2906 bobby     20   0 2728128  27816  22684 S   0.0   0.7   0:00.18 gjs
   2926 bobby     20   0  557016  42208  32056 S   0.0   1.1   0:00.33 xdg-des+
   2993 bobby     20   0  417220  25432  18580 S   0.0   0.6   0:00.18 xdg-des+
   3106 bobby     20   0  561972  61712  46056 S   0.0   1.6   0:38.15 gnome-t+
   3116 bobby     20   0   11032   5304   3900 S   0.0   0.1   0:00.02 bash
   3165 root      20   0   12732   5500   4696 S   0.0   0.1   0:00.06 su
   3174 sysadmin  20   0   11032   5572   4064 S   0.0   0.1   0:00.06 bash
   3200 bobby     20   0  491688  28504  21632 S   0.0   0.7   0:00.64 update-+
   3250 bobby     20   0 3383284 526688 229088 S   0.0  13.3   2:35.18 firefox
   3454 bobby     20   0  208028  50208  41732 S   0.0   1.3   0:00.13 Socket +
   3498 bobby     20   0 2423812  95448  74168 S   0.0   2.4   0:02.88 WebExte+
   3525 bobby     20   0 2499488 174552  96016 S   0.0   4.4   0:10.24 Privile+
   3563 bobby     20   0 1761888  20848  14336 S   0.0   0.5   0:00.33 snap
   3705 bobby     20   0 2447396 119584  88204 S   0.0   3.0   0:03.24 Isolate+
   4047 bobby     20   0  341844  59376  48692 S   0.0   1.5   0:00.21 Utility+
   4481 bobby     20   0  350808  62728  51984 S   0.0   1.6   0:00.36 RDD Pro+
   4537 root      20   0       0      0      0 I   0.0   0.0   0:09.54 kworker+
   4643 bobby     20   0 2733392 278060  97088 S   0.0   7.0   0:58.28 Isolate+
   4683 bobby     20   0 2389924  74336  61228 S   0.0   1.9   0:01.66 Web Con+
   4704 bobby     20   0 2389932  75064  61956 S   0.0   1.9   0:01.56 Web Con+
   4731 bobby     20   0 2389932  74512  61396 S   0.0   1.9   0:01.53 Web Con+
   4976 root      20   0   12696   5464   4656 S   0.0   0.1   0:00.02 su
   4977 bobby     20   0   12328   6756   3964 S   0.0   0.2   0:00.04 bash
   5003 root      20   0  695540 182652  38352 S   0.0   4.6   0:01.85 fwupd
   5038 root      20   0   83988   3028   2708 S   0.0   0.1   0:00.00 gpg-age+
   5060 root      20   0   12732   5464   4660 S   0.0   0.1   0:00.05 su
   5061 sysadmin  20   0   12468   6888   4016 S   0.0   0.2   0:01.59 bash
   5523 bobby     20   0  388240   8816   7784 S   0.0   0.2   0:00.02 gvfsd-r+
   5541 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   5647 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   5689 root      20   0       0      0      0 I   0.0   0.0   0:04.54 kworker+
   5788 root      20   0       0      0      0 I   0.0   0.0   0:00.89 kworker+
   5812 root      20   0       0      0      0 I   0.0   0.0   0:00.85 kworker+
   5912 root      20   0       0      0      0 I   0.0   0.0   0:00.87 kworker+
   5950 bobby     20   0   11272   5600   3964 S   0.0   0.1   0:00.03 bash
   5964 root      20   0   12736   5460   4656 S   0.0   0.1   0:00.08 su
   5967 sysadmin  20   0   11272   5732   4020 S   0.0   0.1   0:00.12 bash
   5992 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6309 bobby     20   0 3145800  61900  47612 S   0.0   1.6   0:00.78 gjs
   6334 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6449 root      20   0       0      0      0 I   0.0   0.0   0:00.44 kworker+
   6517 root       0 -20       0      0      0 I   0.0   0.0   0:00.10 kworker+
   6561 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker+
   6946 root       0 -20       0      0      0 I   0.0   0.0   0:00.05 kworker+
   7066 root      20   0       0      0      0 I   0.0   0.0   0:00.61 kworker+
   7089 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7122 root      20   0       0      0      0 I   0.0   0.0   0:00.08 kworker+
   7131 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7241 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
